parent_sku,sku,regular_price,meta:_regular_price,meta:_price,sale_price,manage_stock,stock_status,meta:attribute_pa_style,meta:attribute_pa_sex,meta:attribute_pa_color,meta:attribute_pa_size
ART-0380-TS,ART-0380-TS-1,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,M
ART-0380-TS,ART-0380-TS-2,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,L
ART-0380-TS,ART-0380-TS-3,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,XL
ART-0380-TS,ART-0380-TS-4,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,2XL
ART-0380-TS,ART-0380-TS-5,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سفید,3XL
ART-0380-TS,ART-0380-TS-6,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,M
ART-0380-TS,ART-0380-TS-7,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,L
ART-0380-TS,ART-0380-TS-8,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,XL
ART-0380-TS,ART-0380-TS-9,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,2XL
ART-0380-TS,ART-0380-TS-10,120000,120000,120000,120000,no,instock,تیشرت,آقایان,مشکی,3XL
ART-0380-TS,ART-0380-TS-11,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,M
ART-0380-TS,ART-0380-TS-12,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,L
ART-0380-TS,ART-0380-TS-13,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,XL
ART-0380-TS,ART-0380-TS-14,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,2XL
ART-0380-TS,ART-0380-TS-15,120000,120000,120000,120000,no,instock,تیشرت,آقایان,خاکستری,3XL
ART-0380-TS,ART-0380-TS-16,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,M
ART-0380-TS,ART-0380-TS-17,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,L
ART-0380-TS,ART-0380-TS-18,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,XL
ART-0380-TS,ART-0380-TS-19,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,2XL
ART-0380-TS,ART-0380-TS-20,120000,120000,120000,120000,no,instock,تیشرت,آقایان,آبی,3XL
ART-0380-TS,ART-0380-TS-21,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,M
ART-0380-TS,ART-0380-TS-22,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,L
ART-0380-TS,ART-0380-TS-23,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,XL
ART-0380-TS,ART-0380-TS-24,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,2XL
ART-0380-TS,ART-0380-TS-25,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرشکی,3XL
ART-0380-TS,ART-0380-TS-26,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرد,M
ART-0380-TS,ART-0380-TS-27,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرد,L
ART-0380-TS,ART-0380-TS-28,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرد,XL
ART-0380-TS,ART-0380-TS-29,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرد,2XL
ART-0380-TS,ART-0380-TS-30,120000,120000,120000,120000,no,instock,تیشرت,آقایان,زرد,3XL
ART-0380-TS,ART-0380-TS-31,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,M
ART-0380-TS,ART-0380-TS-32,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,L
ART-0380-TS,ART-0380-TS-33,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,XL
ART-0380-TS,ART-0380-TS-34,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,2XL
ART-0380-TS,ART-0380-TS-35,120000,120000,120000,120000,no,instock,تیشرت,آقایان,سبز-خاکی,3XL
ART-0380-TS,ART-0380-TS-36,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,M
ART-0380-TS,ART-0380-TS-37,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,L
ART-0380-TS,ART-0380-TS-38,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,XL
ART-0380-TS,ART-0380-TS-39,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,2XL
ART-0380-TS,ART-0380-TS-40,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,سفید,3XL
ART-0380-TS,ART-0380-TS-41,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,M
ART-0380-TS,ART-0380-TS-42,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,L
ART-0380-TS,ART-0380-TS-43,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,XL
ART-0380-TS,ART-0380-TS-44,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,2XL
ART-0380-TS,ART-0380-TS-45,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,مشکی,3XL
ART-0380-TS,ART-0380-TS-46,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,خاکستری,M
ART-0380-TS,ART-0380-TS-47,120000,120000,120000,120000,no,instock,تیشرت,خانم‌ها,خاکستری,L
